intersection_id,bt_param_raw,bt_score_normalized,n_comparisons,n_wins,image_path
600483010,1.8836251396556007,1.0,36,35,/assets/images/600483010.jpeg
600488624,1.250650751205257,0.8620256030815768,10,9,/assets/images/600488624.jpeg
191269022,1.165260916309055,0.8434125103755495,6,6,/assets/images/191269022.jpeg
188278029,1.125545563486682,0.8347554431165016,4,4,/assets/images/188278029.jpeg
192266023,1.0998644029598132,0.8291575189342377,4,4,/assets/images/192266023.jpeg
194264006,0.953093290322793,0.7971646672159924,4,4,/assets/images/194264006.jpeg
186275043,0.9246278347842084,0.7909598283905863,4,4,/assets/images/186275043.jpeg
186279088,0.9246278347842078,0.7909598283905862,4,4,/assets/images/186279088.jpeg
186275023,0.9091983766124664,0.7875965482565574,4,4,/assets/images/186275023.jpeg
190273120,0.8849229763451684,0.7823050486746647,6,5,/assets/images/190273120.jpeg
188269140,0.86803253199514,0.7786233059131845,2,2,/assets/images/188269140.jpeg
189267114,0.8542741172065601,0.7756242762247081,6,5,/assets/images/189267114.jpeg
189275160,0.8224676322246238,0.7686911669811864,2,2,/assets/images/189275160.jpeg
187265053,0.8139696181709055,0.7668387881401775,6,5,/assets/images/187265053.jpeg
188274022,0.7887872450371205,0.7613495885619527,2,2,/assets/images/188274022.jpeg
187270060,0.78878724503712,0.7613495885619526,2,2,/assets/images/187270060.jpeg
183264037,0.7538263368926321,0.7537288849363831,2,2,/assets/images/183264037.jpeg
184263029,0.7538263368926321,0.7537288849363831,2,2,/assets/images/184263029.jpeg
185276028,0.7204342878393942,0.7464501578440115,2,2,/assets/images/185276028.jpeg
183263018,0.7204342878393941,0.7464501578440115,2,2,/assets/images/183263018.jpeg
600097669,0.7144792477550763,0.745152091003945,10,8,/assets/images/600097669.jpeg
187263039,0.7106290721718893,0.7443128380044345,4,4,/assets/images/187263039.jpeg
190267091,0.7015522634196527,0.742334294738885,2,2,/assets/images/190267091.jpeg
182268014,0.7015522634196529,0.742334294738885,2,2,/assets/images/182268014.jpeg
184268129,0.7015522634196525,0.742334294738885,2,2,/assets/images/184268129.jpeg
187271099,0.6109662523051718,0.7225885507074951,4,4,/assets/images/187271099.jpeg
190264011,0.5759041567743814,0.7149457904729134,2,2,/assets/images/190264011.jpeg
185277012,0.5759041567743817,0.7149457904729134,2,2,/assets/images/185277012.jpeg
180271045,0.5696996873877324,0.7135933535695538,4,1,/assets/images/180271045.jpeg
185273145,0.5610992354976523,0.7117186455491157,2,1,/assets/images/185273145.jpeg
600111024,0.441365816046481,0.6856194120869202,4,3,/assets/images/600111024.jpeg
185274084,0.3671465193774175,0.6694412492979105,2,1,/assets/images/185274084.jpeg
179265069,0.3671465193774176,0.6694412492979105,2,1,/assets/images/179265069.jpeg
182272213,0.3631893083858158,0.6685786649500952,4,3,/assets/images/182272213.jpeg
183278091,0.2774021258865811,0.6498789592674676,4,3,/assets/images/183278091.jpeg
181273107,0.2499401253887495,0.6438928514153978,4,1,/assets/images/181273107.jpeg
188274050,0.1381055048579766,0.6195153811671769,4,3,/assets/images/188274050.jpeg
188266127,0.1381055048579765,0.6195153811671769,4,3,/assets/images/188266127.jpeg
185274093,-0.0815019959525389,0.5716458100818848,2,0,/assets/images/185274093.jpeg
184267042,-0.0815019959525389,0.5716458100818848,2,0,/assets/images/184267042.jpeg
182274179,-0.1300287285943101,0.561068057185655,8,2,/assets/images/182274179.jpeg
191275054,-0.2851155617824056,0.527262562572354,4,3,/assets/images/191275054.jpeg
191272052,-0.2851155617824056,0.527262562572354,4,3,/assets/images/191272052.jpeg
183272020,-0.3055665955817158,0.522804690174505,30,17,/assets/images/183272020.jpeg
189276040,-0.3300798059991818,0.517461353247138,2,0,/assets/images/189276040.jpeg
183268031,-0.3697003110882548,0.5088249606931651,2,0,/assets/images/183268031.jpeg
183277002,-0.3914550301293696,0.5040829137879559,30,12,/assets/images/183277002.jpeg
181272016,-0.4087863539838358,0.5003050690595584,4,0,/assets/images/181272016.jpeg
600409842,-0.408786353983836,0.5003050690595583,4,0,/assets/images/600409842.jpeg
187274156,-0.5101735800049193,0.4782048994148773,2,0,/assets/images/187274156.jpeg
184273072,-0.5885660933609975,0.46111706782076717,12,3,/assets/images/184273072.jpeg
181265038,-0.7390069741624858,0.4283242879244442,18,5,/assets/images/181265038.jpeg
186275130,-0.8367233121958519,0.4070242905545062,4,0,/assets/images/186275130.jpeg
183263020,-0.9006199438006686,0.39309624011256505,18,6,/assets/images/183263020.jpeg
179265077,-0.9121120944046964,0.39059120582078527,4,1,/assets/images/179265077.jpeg
186274160,-0.9356303491871104,0.3854647471845652,8,2,/assets/images/186274160.jpeg
186273103,-1.0043327559573316,0.37048914419978646,4,0,/assets/images/186273103.jpeg
177273181,-1.0043327559573316,0.37048914419978646,4,0,/assets/images/177273181.jpeg
182270019,-1.0614398606190267,0.35804106025006316,14,4,/assets/images/182270019.jpeg
181277036,-1.1557537667787257,0.33748271766804566,14,2,/assets/images/181277036.jpeg
179274126,-1.2780392736811843,0.310827185667711,2,0,/assets/images/179274126.jpeg
183268167,-1.343227035511845,0.29661769743380784,2,0,/assets/images/183268167.jpeg
184273056,-1.4971168844857257,0.2630731188671758,2,0,/assets/images/184273056.jpeg
181263098,-1.618350633932046,0.23664684669688016,2,0,/assets/images/181263098.jpeg
178273039,-1.8810738773536195,0.17937899869391566,28,4,/assets/images/178273039.jpeg
180271187,-2.324008071371215,0.08282915495735535,4,0,/assets/images/180271187.jpeg
176275195,-2.399854260384747,0.06629636567132598,22,1,/assets/images/176275195.jpeg
