task_id,set_id,alt1_att1_property_url,alt1_att2_price,alt2_att1_property_url,alt2_att2_price
1,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img2.png?raw=true,100000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img1.png?raw=true,200000
2,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,500000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,200000
3,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,600000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img10.png?raw=true,300000
4,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img8.png?raw=true,650000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,350000
5,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,300000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img8.png?raw=true,650000
6,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img3.png?raw=true,250000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,50000
7,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img6.png?raw=true,500000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img5.png?raw=true,250000
8,1,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img1.png?raw=true,50000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img6.png?raw=true,50000
9,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img3.png?raw=true,50000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img3.png?raw=true,550000
10,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img12.png?raw=true,650000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img11.png?raw=true,100000
11,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img5.png?raw=true,450000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img10.png?raw=true,400000
12,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img5.png?raw=true,500000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img2.png?raw=true,450000
13,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img1.png?raw=true,200000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,600000
14,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,350000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img6.png?raw=true,650000
15,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img10.png?raw=true,700000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img12.png?raw=true,600000
16,2,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,50000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img11.png?raw=true,650000
17,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img3.png?raw=true,300000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img1.png?raw=true,400000
18,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img11.png?raw=true,550000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,150000
19,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,500000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img12.png?raw=true,100000
20,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,550000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,400000
21,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img8.png?raw=true,100000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img4.png?raw=true,500000
22,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img8.png?raw=true,50000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,50000
23,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img9.png?raw=true,250000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img8.png?raw=true,600000
24,3,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,100000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img9.png?raw=true,550000
25,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img4.png?raw=true,650000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,300000
26,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img1.png?raw=true,650000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img11.png?raw=true,550000
27,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,350000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img9.png?raw=true,500000
28,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img9.png?raw=true,650000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img12.png?raw=true,300000
29,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img10.png?raw=true,500000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img12.png?raw=true,650000
30,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img3.png?raw=true,650000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img5.png?raw=true,400000
31,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,500000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,350000
32,4,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,50000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,500000
33,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img11.png?raw=true,100000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,100000
34,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img12.png?raw=true,450000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,350000
35,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img8.png?raw=true,450000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img14.png?raw=true,250000
36,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img2.png?raw=true,350000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img9.png?raw=true,650000
37,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img7.png?raw=true,450000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img1.png?raw=true,700000
38,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img5.png?raw=true,300000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img9.png?raw=true,350000
39,5,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img13.png?raw=true,300000,https://github.com/PixelSurvey/example-data/blob/main/sc_data/img3.png?raw=true,350000
